timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626903132544,18,ClickCalendarMonthMay,200,OK,Editor 1-2,text,true,,6196,3139,2,2,http://192.168.56.101/,18,0,0
1626903131913,49,SelectMonth,200,"Number of samples in transaction : 2, number of failing samples : 0",Editor 1-2,,true,,11288,5692,2,2,null,49,600,0
1626903132549,16,ClickCalendarMonthMay,200,OK,Editor 1-1,text,true,,6196,3139,2,2,http://192.168.56.101/,16,0,0
1626903131913,51,SelectMonth,200,"Number of samples in transaction : 2, number of failing samples : 0",Editor 1-1,,true,,11288,5692,2,2,null,51,602,0
1626903132562,0,SelectPredefinedDate,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,300,0
1626903132566,0,SelectPredefinedDate,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,300,0
1626903132862,0,OpenRandomPost,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,301,0
1626903132866,0,OpenRandomPost,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,301,0
1626903133765,3,1/api/posts/9ed63028-d56a-471e-aa34-0f6540c99f7c-121,200,OK,Editor 1-2,text,true,,743,1244,2,2,http://192.168.56.101/api/posts/49301e10-8f3b-4d69-9c92-f62b08a6b0c0,3,0,0
1626903133769,4,1/api/posts/9ed63028-d56a-471e-aa34-0f6540c99f7c-121,200,OK,Editor 1-1,text,true,,717,1244,2,2,http://192.168.56.101/api/posts/0c4f91bd-06a9-4a55-b8b3-463921d6d001,4,0,0
1626903134068,12,1/api/customfields-123,200,OK,Editor 1-2,text,true,,231,1316,2,2,http://192.168.56.101/api/customfields?filter=CustomType+%3D%3D+%22POST%22+%26%26+ObjectId+%3D%3D+%2249301e10-8f3b-4d69-9c92-f62b08a6b0c0%22,12,0,0
1626903134073,9,1/api/customfields-123,200,OK,Editor 1-1,text,true,,231,1316,2,2,http://192.168.56.101/api/customfields?filter=CustomType+%3D%3D+%22POST%22+%26%26+ObjectId+%3D%3D+%220c4f91bd-06a9-4a55-b8b3-463921d6d001%22,9,0,0
1626903134380,4,1/api/customfields-122,200,OK,Editor 1-2,text,true,,231,1253,2,2,http://192.168.56.101/api/customfields?filter=CustomType+%3D%3D+%22PROFILE%22,4,0,0
1626903133163,19,ClickEdit,200,"Number of samples in transaction : 4, number of failing samples : 0",Editor 1-2,,true,,1205,3813,2,2,null,19,1202,0
1626903134382,3,1/api/customfields-122,200,OK,Editor 1-1,text,true,,231,1253,2,2,http://192.168.56.101/api/customfields?filter=CustomType+%3D%3D+%22PROFILE%22,3,0,0
1626903133167,16,ClickEdit,200,"Number of samples in transaction : 4, number of failing samples : 0",Editor 1-1,,true,,1179,3813,2,2,null,16,1202,0
1626903135285,11,UpdatePost,500,Internal Server Error,Editor 1-2,text,false,,285,1824,2,2,http://192.168.56.101/api/posts/update/foo,11,0,0
1626903135287,25,UpdatePost,200,OK,Editor 1-1,,true,,182,1798,2,2,http://192.168.56.101/api/posts/update/foo,25,0,0
1626903136196,3,1/api/posts/9ed63028-d56a-471e-aa34-0f6540c99f7c-125,200,OK,Editor 1-2,text,true,,743,1244,2,2,http://192.168.56.101/api/posts/49301e10-8f3b-4d69-9c92-f62b08a6b0c0,3,0,0
1626903136213,4,1/api/posts/9ed63028-d56a-471e-aa34-0f6540c99f7c-125,200,OK,Editor 1-1,text,true,,717,1244,2,2,http://192.168.56.101/api/posts/0c4f91bd-06a9-4a55-b8b3-463921d6d001,4,0,0
1626903137099,3,1/api/customfields-126,200,OK,Editor 1-2,,true,,182,1312,2,2,http://192.168.56.101/api/customfields,3,0,0
1626903134384,17,Updated,,"Number of samples in transaction : 3, number of failing samples : 1",Editor 1-2,,false,,1210,4380,2,2,null,17,2700,0
1626903137117,2,1/api/customfields-126,200,OK,Editor 1-1,,true,,182,1312,2,2,http://192.168.56.101/api/customfields,2,0,0
1626903134385,31,Updated,200,"Number of samples in transaction : 3, number of failing samples : 0",Editor 1-1,,true,,1081,4354,2,2,null,31,2702,0
1626903137401,14,ClickCalendarMonthJune,200,OK,Editor 1-2,text,true,,5092,2553,2,2,http://192.168.56.101/,14,0,0
1626903137419,14,ClickCalendarMonthJune,200,OK,Editor 1-1,text,true,,5092,2553,2,2,http://192.168.56.101/,14,0,0
1626903137716,13,ClickCalendarMonthMay,200,OK,Editor 1-2,text,true,,6196,3139,2,2,http://192.168.56.101/,13,0,0
1626903137102,27,SelectMonth,200,"Number of samples in transaction : 2, number of failing samples : 0",Editor 1-2,,true,,11288,5692,2,2,null,27,600,0
1626903137734,13,ClickCalendarMonthMay,200,OK,Editor 1-1,text,true,,6196,3139,2,2,http://192.168.56.101/,13,0,0
